	Image_name	class	score	type_hierarchy
123	Blur-Tools/saw1.jpg	tool	0.998	
124	Blur-Tools/saw1.jpg	ivory color	0.985	
125	Blur-Tools/saw2.jpg	pruning saw	0.748	/tool/saw/handsaw/pruning saw
126	Blur-Tools/saw2.jpg	handsaw	0.75	
127	Blur-Tools/saw2.jpg	saw	0.81	
128	Blur-Tools/saw2.jpg	tool	0.81	
129	Blur-Tools/saw2.jpg	worm	0.701	
130	Blur-Tools/saw2.jpg	invertebrate	0.701	
131	Blur-Tools/saw2.jpg	animal	0.701	
132	Blur-Tools/saw2.jpg	ivory color	0.971	
133	Blur-Tools/saw3.jpg	thumbtack	0.883	/restraint (chains)/fastener/thumbtack
134	Blur-Tools/saw3.jpg	fastener	0.913	
135	Blur-Tools/saw3.jpg	restraint (chains)	0.913	
136	Blur-Tools/saw3.jpg	lighter	0.799	
137	Blur-Tools/saw3.jpg	orange color	0.967	
138	Blur-Tools/saw4.jpg	pruning saw	0.935	/tool/saw/handsaw/pruning saw
139	Blur-Tools/saw4.jpg	handsaw	0.935	
140	Blur-Tools/saw4.jpg	saw	0.935	
141	Blur-Tools/saw4.jpg	tool	0.935	
142	Blur-Tools/saw4.jpg	gray color	0.779	
143	Blur-Tools/saw4.jpg	sage green color	0.731	
144	Blur-Tools/saw5.jpg	level	0.791	/indicator/level
145	Blur-Tools/saw5.jpg	indicator	0.791	
146	Blur-Tools/saw5.jpg	penlight	0.655	/lamp/electric lamp/penlight
147	Blur-Tools/saw5.jpg	electric lamp	0.655	
148	Blur-Tools/saw5.jpg	lamp	0.655	
149	Blur-Tools/saw5.jpg	clinical thermometer	0.647	/measuring instrument/thermometer/clinical thermometer
150	Blur-Tools/saw5.jpg	thermometer	0.648	
151	Blur-Tools/saw5.jpg	measuring instrument	0.648	
152	Blur-Tools/saw5.jpg	pale yellow color	0.985	
153	Blur-Tools/scissor1.jpg	chain wrench	0.635	/tool/wrench/adjustable wrench/chain wrench
154	Blur-Tools/scissor1.jpg	adjustable wrench	0.678	
155	Blur-Tools/scissor1.jpg	wrench	0.69	
156	Blur-Tools/scissor1.jpg	tool	0.692	
157	Blur-Tools/scissor1.jpg	ultramarine color	0.916	
158	Blur-Tools/scissor2.jpg	thinning shears	0.995	/tool/cutlery/pair of scissors/shears/thinning shears
159	Blur-Tools/scissor2.jpg	shears	0.996	
160	Blur-Tools/scissor2.jpg	pair of scissors	0.997	
161	Blur-Tools/scissor2.jpg	cutlery	0.997	
162	Blur-Tools/scissor2.jpg	tool	0.997	
163	Blur-Tools/scissor2.jpg	ultramarine color	0.888	
164	Blur-Tools/scissor2.jpg	greenish blue color	0.874	
165	Blur-Tools/scissor3.jpg	thinning shears	0.916	/tool/cutlery/pair of scissors/shears/thinning shears
166	Blur-Tools/scissor3.jpg	shears	0.944	
167	Blur-Tools/scissor3.jpg	pair of scissors	0.945	
168	Blur-Tools/scissor3.jpg	cutlery	0.945	
169	Blur-Tools/scissor3.jpg	tool	0.945	
170	Blur-Tools/scissor3.jpg	screw eye	0.692	/restraint (chains)/fastener/screw/screw eye
171	Blur-Tools/scissor3.jpg	screw	0.692	
172	Blur-Tools/scissor3.jpg	fastener	0.692	
173	Blur-Tools/scissor3.jpg	restraint (chains)	0.692	
174	Blur-Tools/scissor3.jpg	ash grey color	0.99	
175	Blur-Tools/scissor4.jpg	shears	0.958	/tool/cutlery/pair of scissors/shears
176	Blur-Tools/scissor4.jpg	pair of scissors	0.974	
177	Blur-Tools/scissor4.jpg	cutlery	0.974	
178	Blur-Tools/scissor4.jpg	tool	0.974	
179	Blur-Tools/scissor4.jpg	claret red color	0.826	
180	Blur-Tools/scissor4.jpg	maroon color	0.821	
181	Blur-Tools/scissor5.jpg	thinning shears	0.987	/tool/cutlery/pair of scissors/shears/thinning shears
182	Blur-Tools/scissor5.jpg	shears	0.991	
183	Blur-Tools/scissor5.jpg	pair of scissors	0.992	
184	Blur-Tools/scissor5.jpg	cutlery	0.992	
185	Blur-Tools/scissor5.jpg	tool	0.992	
186	Blur-Tools/scissor5.jpg	ivory color	0.964	
187	Blur-Tools/screw1.jpg	bottlebrush	0.838	/brush/bottlebrush
188	Blur-Tools/screw1.jpg	brush	0.851	
189	Blur-Tools/screw1.jpg	toothbrush	0.624	
190	Blur-Tools/screw1.jpg	ultramarine color	0.82	
191	Blur-Tools/screw1.jpg	jade green color	0.626	
192	Blur-Tools/screw2.jpg	flat tip screwdriver	0.913	/tool/flat tip screwdriver
193	Blur-Tools/screw2.jpg	tool	0.976	
194	Blur-Tools/screw2.jpg	wood chisel	0.614	/tool/cutlery/chisel/wood chisel
195	Blur-Tools/screw2.jpg	chisel	0.624	
196	Blur-Tools/screw2.jpg	cutlery	0.624	
197	Blur-Tools/screw2.jpg	ultramarine color	0.813	
198	Blur-Tools/screw2.jpg	pale yellow color	0.684	
199	Blur-Tools/screw3.jpg	round file	0.9	/tool/round file
200	Blur-Tools/screw3.jpg	tool	0.972	
201	Blur-Tools/screw3.jpg	coal black color	0.642	
202	Blur-Tools/screw3.jpg	ash grey color	0.618	
203	Blur-Tools/screw4.jpg	scriber	0.896	/tool/scriber
204	Blur-Tools/screw4.jpg	tool	0.975	
205	Blur-Tools/screw4.jpg	ultramarine color	0.829	
206	Blur-Tools/screw4.jpg	reddish brown color	0.607	
207	Blur-Tools/screw5.jpg	flat tip screwdriver	0.818	/tool/flat tip screwdriver
208	Blur-Tools/screw5.jpg	tool	0.966	
209	Blur-Tools/screw5.jpg	wood chisel	0.7	/tool/cutlery/chisel/wood chisel
210	Blur-Tools/screw5.jpg	chisel	0.719	
211	Blur-Tools/screw5.jpg	cutlery	0.719	
212	Blur-Tools/shovel1.jpg	coal black color	0.963	
213	Blur-Tools/shovel2.jpg	food turner	0.831	/utensil/food turner
214	Blur-Tools/shovel2.jpg	utensil	0.96	
215	Blur-Tools/shovel2.jpg	fish slice	0.771	/utensil/fish slice
216	Blur-Tools/shovel2.jpg	tool	0.797	
217	Blur-Tools/shovel2.jpg	ash grey color	1.0	
218	Blur-Tools/shovel3.jpg	garden spade	0.834	/tool/shovel/hand shovel/garden spade
219	Blur-Tools/shovel3.jpg	hand shovel	0.937	
220	Blur-Tools/shovel3.jpg	shovel	0.967	
221	Blur-Tools/shovel3.jpg	tool	0.967	
222	Blur-Tools/shovel3.jpg	ditch spade	0.687	/tool/shovel/hand shovel/ditch spade
223	Blur-Tools/shovel3.jpg	utensil	0.797	
224	Blur-Tools/shovel3.jpg	ash grey color	0.896	
225	Blur-Tools/shovel3.jpg	gray color	0.856	
226	Blur-Tools/shovel4.jpg	spade	0.859	
227	Blur-Tools/shovel4.jpg	trenching spade	0.788	/tool/shovel/hand shovel/trenching spade
228	Blur-Tools/shovel4.jpg	hand shovel	0.939	
229	Blur-Tools/shovel4.jpg	shovel	0.955	
230	Blur-Tools/shovel4.jpg	tool	0.955	
231	Blur-Tools/shovel4.jpg	ash grey color	0.877	
232	Blur-Tools/shovel4.jpg	charcoal color	0.829	
233	Blur-Tools/shovel5.jpg	garden spade	0.846	/tool/shovel/hand shovel/garden spade
234	Blur-Tools/shovel5.jpg	hand shovel	0.939	
235	Blur-Tools/shovel5.jpg	shovel	0.965	
236	Blur-Tools/shovel5.jpg	tool	0.965	
237	Blur-Tools/shovel5.jpg	spade	0.613	
238	Blur-Tools/tape1.jpg	tape measure	0.984	/measuring instrument/tape measure
239	Blur-Tools/tape1.jpg	measuring instrument	0.984	
240	Blur-Tools/tape1.jpg	lemon yellow color	0.937	
241	Blur-Tools/tape1.jpg	yellow color	0.716	
242	Blur-Tools/tape2.jpg	table-tennis racquet	0.863	/bat/table-tennis racquet
243	Blur-Tools/tape2.jpg	bat	0.865	
244	Blur-Tools/tape2.jpg	tool	0.796	
245	Blur-Tools/tape2.jpg	sports equipment	0.793	
246	Blur-Tools/tape2.jpg	stick	0.801	
247	Blur-Tools/tape2.jpg	orange color	0.935	
248	Blur-Tools/tape2.jpg	reddish orange color	0.71	
249	Blur-Tools/tape3.jpg	plasmodium (parasite)	0.639	/microorganism/plasmodium (parasite)
250	Blur-Tools/tape3.jpg	microorganism	0.787	
251	Blur-Tools/tape3.jpg	ivory color	1.0	
252	Blur-Tools/tape4.jpg	earplug	0.688	/electrical device/earplug
253	Blur-Tools/tape4.jpg	electrical device	0.688	
254	Blur-Tools/tape4.jpg	thermometer	0.709	
255	Blur-Tools/tape4.jpg	measuring instrument	0.781	
256	Blur-Tools/tape4.jpg	ash grey color	0.985	
257	Blur-Tools/tape5.jpg	hedge trimmer	0.969	/tool/garden tool/hedge trimmer
258	Blur-Tools/tape5.jpg	garden tool	0.969	
259	Blur-Tools/tape5.jpg	tool	0.969	
260	Blur-Tools/tape5.jpg	machine	0.798	
261	Blur-Tools/tape5.jpg	pale yellow color	0.932	
262	Blur-Tools/tape5.jpg	lemon yellow color	0.711	
263	Blur-Tools/wrench1.jpg	crescent wrench	0.864	/tool/wrench/adjustable wrench/crescent wrench
264	Blur-Tools/wrench1.jpg	adjustable wrench	0.905	
265	Blur-Tools/wrench1.jpg	wrench	0.976	
266	Blur-Tools/wrench1.jpg	tool	0.976	
267	Blur-Tools/wrench1.jpg	open-end wrench	0.787	/tool/wrench/open-end wrench
268	Blur-Tools/wrench1.jpg	utensil	0.786	
269	Blur-Tools/wrench1.jpg	ash grey color	0.904	
270	Blur-Tools/wrench1.jpg	charcoal color	0.811	
271	Blur-Tools/wrench2.jpg	wrench	0.942	/tool/wrench
272	Blur-Tools/wrench2.jpg	tool	0.942	
273	Blur-Tools/wrench2.jpg	bar	0.787	
274	Blur-Tools/wrench2.jpg	ash grey color	0.846	
275	Blur-Tools/wrench2.jpg	gray color	0.841	
276	Blur-Tools/wrench3.jpg	wrench	0.986	/tool/wrench
277	Blur-Tools/wrench3.jpg	tool	0.986	
278	Blur-Tools/wrench3.jpg	box wrench	0.829	/tool/wrench/box wrench
279	Blur-Tools/wrench3.jpg	ash grey color	0.877	
280	Blur-Tools/wrench3.jpg	ivory color	0.774	
281	Blur-Tools/wrench4.jpg	open-end wrench	0.739	/tool/wrench/open-end wrench
282	Blur-Tools/wrench4.jpg	wrench	0.935	
283	Blur-Tools/wrench4.jpg	tool	0.935	
284	Blur-Tools/wrench4.jpg	bar	0.798	
285	Blur-Tools/wrench4.jpg	ivory color	0.843	
286	Blur-Tools/wrench4.jpg	ash grey color	0.797	
287	Blur-Tools/wrench5.jpg	box wrench	0.957	/tool/wrench/box wrench
288	Blur-Tools/wrench5.jpg	wrench	0.995	
289	Blur-Tools/wrench5.jpg	tool	0.995	
290	Blur-Tools/wrench5.jpg	bar	0.784	
291	Blur-Tools/wrench5.jpg	ivory color	0.871	
292	Blur-Tools/wrench5.jpg	sage green color	0.66	
293	BW-Tools/axe1.jpg	hatchet	0.763	/tool/cutlery/ax/hatchet
294	BW-Tools/axe1.jpg	ax	0.923	
295	BW-Tools/axe1.jpg	cutlery	0.923	
296	BW-Tools/axe1.jpg	tool	0.923	
297	BW-Tools/axe1.jpg	tomahawk	0.644	/weapon/tomahawk
298	BW-Tools/axe1.jpg	weapon	0.644	
299	BW-Tools/axe1.jpg	coal black color	0.979	
300	BW-Tools/axe1.jpg	bottle green color	0.724	
301	BW-Tools/axe2.jpg	carpenter's hammer	0.823	/tool/hammer/carpenter's hammer
302	BW-Tools/axe2.jpg	hammer	0.844	
303	BW-Tools/axe2.jpg	tool	0.929	
304	BW-Tools/axe2.jpg	battle-ax	0.684	/tool/cutlery/ax/battle-ax
305	BW-Tools/axe2.jpg	ax	0.721	
306	BW-Tools/axe2.jpg	cutlery	0.721	
307	BW-Tools/axe2.jpg	musical instrument	0.792	
308	BW-Tools/axe2.jpg	medical instrument	0.782	
309	BW-Tools/axe2.jpg	bottle green color	0.94	
310	BW-Tools/axe3.jpg	coal black color	0.976	
311	BW-Tools/axe3.jpg	black color	0.89	
312	BW-Tools/axe4.jpg	adz (edge tool)	0.781	/tool/cutlery/adz (edge tool)
313	BW-Tools/axe4.jpg	cutlery	0.941	
314	BW-Tools/axe4.jpg	tool	0.941	
315	BW-Tools/axe4.jpg	ax	0.828	/tool/cutlery/ax
316	BW-Tools/axe4.jpg	weapon	0.795	
317	BW-Tools/axe4.jpg	lever	0.789	
318	BW-Tools/axe4.jpg	coal black color	0.913	
319	BW-Tools/axe5.jpg	wrecking bar	0.832	/bar/lever/wrecking bar
320	BW-Tools/axe5.jpg	lever	0.832	
321	BW-Tools/axe5.jpg	bar	0.832	
322	BW-Tools/axe5.jpg	cutlery	0.875	
323	BW-Tools/axe5.jpg	tool	0.876	
324	BW-Tools/axe5.jpg	ax	0.704	
325	BW-Tools/axe5.jpg	weapon	0.797	
326	BW-Tools/axe5.jpg	coal black color	0.903	
327	BW-Tools/axe5.jpg	bottle green color	0.62	
328	BW-Tools/flash1.jpg	flashlight	0.867	/lamp/electric lamp/flashlight
329	BW-Tools/flash1.jpg	electric lamp	0.867	
330	BW-Tools/flash1.jpg	lamp	0.867	
331	BW-Tools/flash1.jpg	flashlight battery	0.851	/electrical device/electric battery/flashlight battery
332	BW-Tools/flash1.jpg	electric battery	0.851	
333	BW-Tools/flash1.jpg	electrical device	0.851	
334	BW-Tools/flash1.jpg	coal black color	0.794	
335	BW-Tools/flash1.jpg	black color	0.756	
336	BW-Tools/flash2.jpg	coal black color	0.816	
337	BW-Tools/flash2.jpg	clothing	0.79	
338	BW-Tools/flash3.jpg	volcano	0.734	/nature/volcano
339	BW-Tools/flash3.jpg	nature	0.734	
340	BW-Tools/flash3.jpg	black tie	0.669	/garment/neckwear/necktie/black tie
341	BW-Tools/flash3.jpg	necktie	0.77	
342	BW-Tools/flash3.jpg	neckwear	0.77	
343	BW-Tools/flash3.jpg	garment	0.77	
344	BW-Tools/flash3.jpg	natural elevation	0.601	
345	BW-Tools/flash3.jpg	black color	0.997	
346	BW-Tools/flash4.jpg	flashlight battery	0.914	/electrical device/electric battery/flashlight battery
347	BW-Tools/flash4.jpg	electric battery	0.915	
348	BW-Tools/flash4.jpg	electrical device	0.915	
349	BW-Tools/flash4.jpg	mechanism	0.796	
350	BW-Tools/flash4.jpg	tool	0.779	
351	BW-Tools/flash4.jpg	coal black color	0.903	
352	BW-Tools/flash4.jpg	black color	0.76	
353	BW-Tools/flash5.jpg	flashlight	0.782	/lamp/electric lamp/flashlight
354	BW-Tools/flash5.jpg	electric lamp	0.782	
355	BW-Tools/flash5.jpg	lamp	0.782	
356	BW-Tools/flash5.jpg	flashlight battery	0.74	/electrical device/electric battery/flashlight battery
357	BW-Tools/flash5.jpg	electric battery	0.741	
358	BW-Tools/flash5.jpg	electrical device	0.741	
359	BW-Tools/flash5.jpg	coal black color	0.967	
360	BW-Tools/hammer1.jpg	alpenstock (climbing equipment)	0.764	
361	BW-Tools/hammer1.jpg	stick	0.601	
362	BW-Tools/hammer1.jpg	coal black color	1.0	
363	BW-Tools/hammer2.jpg	bottle screw	0.877	/tool/opener/bottle screw
364	BW-Tools/hammer2.jpg	opener	0.919	
365	BW-Tools/hammer2.jpg	tool	0.92	
366	BW-Tools/hammer2.jpg	bootjack	0.61	
367	BW-Tools/hammer2.jpg	coal black color	0.985	
368	BW-Tools/hammer3.jpg	bottle screw	0.809	/tool/opener/bottle screw
369	BW-Tools/hammer3.jpg	opener	0.827	
370	BW-Tools/hammer3.jpg	tool	0.903	
371	BW-Tools/hammer3.jpg	carpenter's hammer	0.606	/tool/hammer/carpenter's hammer
372	BW-Tools/hammer3.jpg	hammer	0.628	
373	BW-Tools/hammer3.jpg	coal black color	1.0	
374	BW-Tools/hammer4.jpg	metal detector	0.605	
375	BW-Tools/hammer4.jpg	hammer	0.788	
376	BW-Tools/hammer4.jpg	tool	0.789	
377	BW-Tools/hammer4.jpg	coal black color	0.99	
378	BW-Tools/hammer5.jpg	tomahawk	0.652	/weapon/tomahawk
379	BW-Tools/hammer5.jpg	weapon	0.652	
380	BW-Tools/hammer5.jpg	bottle green color	0.844	
381	BW-Tools/plier1.jpg	chain wrench	0.736	/tool/wrench/adjustable wrench/chain wrench
382	BW-Tools/plier1.jpg	adjustable wrench	0.736	
383	BW-Tools/plier1.jpg	wrench	0.736	
384	BW-Tools/plier1.jpg	tool	0.794	
385	BW-Tools/plier1.jpg	weapon	0.684	
386	BW-Tools/plier1.jpg	ivory color	0.894	
387	BW-Tools/plier2.jpg	pruning saw	0.73	/tool/saw/handsaw/pruning saw
388	BW-Tools/plier2.jpg	handsaw	0.819	
389	BW-Tools/plier2.jpg	saw	0.878	
390	BW-Tools/plier2.jpg	tool	0.915	
391	BW-Tools/plier2.jpg	weapon	0.786	
392	BW-Tools/plier2.jpg	azure color	0.94	
393	BW-Tools/plier2.jpg	coal black color	0.66	
394	BW-Tools/plier3.jpg	wire cutter	0.752	/tool/cutlery/wire cutter
395	BW-Tools/plier3.jpg	cutlery	0.942	
396	BW-Tools/plier3.jpg	tool	0.981	
397	BW-Tools/plier3.jpg	snips	0.73	/tool/cutlery/pair of scissors/shears/snips
398	BW-Tools/plier3.jpg	shears	0.823	
399	BW-Tools/plier3.jpg	pair of scissors	0.836	
400	BW-Tools/plier3.jpg	black color	0.971	
401	BW-Tools/plier3.jpg	coal black color	0.895	
402	BW-Tools/plier4.jpg	slip-joint pliers	0.759	/tool/pair of pliers/slip-joint pliers
403	BW-Tools/plier4.jpg	pair of pliers	0.825	
404	BW-Tools/plier4.jpg	tool	0.945	
405	BW-Tools/plier4.jpg	wire cutter	0.742	/tool/cutlery/wire cutter
406	BW-Tools/plier4.jpg	cutlery	0.742	
407	BW-Tools/plier4.jpg	black color	0.724	
408	BW-Tools/plier4.jpg	gray color	0.718	
409	BW-Tools/plier5.jpg	windshield wiper	0.673	/mechanical device/windshield wiper
410	BW-Tools/plier5.jpg	mechanical device	0.673	
411	BW-Tools/plier5.jpg	tool	0.664	
412	BW-Tools/plier5.jpg	mechanism	0.601	
413	BW-Tools/plier5.jpg	coal black color	0.9	
414	BW-Tools/plier5.jpg	black color	0.714	
415	BW-Tools/saw1.jpg	pruning saw	0.996	/tool/saw/handsaw/pruning saw
416	BW-Tools/saw1.jpg	handsaw	0.996	
417	BW-Tools/saw1.jpg	saw	0.996	
418	BW-Tools/saw1.jpg	tool	0.996	
419	BW-Tools/saw1.jpg	coal black color	0.834	
420	BW-Tools/saw2.jpg	angular distance	0.699	
421	BW-Tools/saw2.jpg	azure color	0.638	
422	BW-Tools/saw2.jpg	emerald color	0.612	
423	BW-Tools/saw3.jpg	phonograph needle	0.604	
424	BW-Tools/saw3.jpg	coal black color	0.992	
425	BW-Tools/saw4.jpg	pruning saw	0.992	/tool/saw/handsaw/pruning saw
426	BW-Tools/saw4.jpg	handsaw	0.992	
427	BW-Tools/saw4.jpg	saw	0.992	
428	BW-Tools/saw4.jpg	tool	0.992	
429	BW-Tools/saw4.jpg	coal black color	0.975	
430	BW-Tools/saw4.jpg	black color	0.788	
431	BW-Tools/saw5.jpg	hypotenuse	0.642	/figure/hypotenuse
432	BW-Tools/saw5.jpg	figure	0.838	
433	BW-Tools/saw5.jpg	mourning cloak butterfly	0.641	/animal/invertebrate/insect/butterfly/mourning cloak butterfly
434	BW-Tools/saw5.jpg	butterfly	0.641	
435	BW-Tools/saw5.jpg	insect	0.641	
436	BW-Tools/saw5.jpg	invertebrate	0.641	
437	BW-Tools/saw5.jpg	animal	0.641	
438	BW-Tools/saw5.jpg	triangle	0.723	
439	BW-Tools/saw5.jpg	polygon	0.723	
440	BW-Tools/saw5.jpg	tool	0.787	
441	BW-Tools/saw5.jpg	coal black color	0.971	
442	BW-Tools/saw5.jpg	black color	0.832	
443	BW-Tools/scissor1.jpg	fire tongs	0.886	
444	BW-Tools/scissor1.jpg	pair of scissors	0.764	
445	BW-Tools/scissor1.jpg	cutlery	0.764	
446	BW-Tools/scissor1.jpg	tool	0.764	
447	BW-Tools/scissor1.jpg	black color	0.784	
448	BW-Tools/scissor1.jpg	coal black color	0.635	
